,WIN,SiteID,Inst_Flow_GPM,Horsepower,Site_kWh,Site_acft,SiteHours,finishedDiameter,totalDepth,NewWellDate,AbandonDate
0,19249,381100113010301.0,1800.0,150.0,1476.0,,,16.0,300.0,19910503,
1,19248,381119113005601.0,1300.0,150.0,165017.0,378.135,,0.0,292.0,19600719,
2,433364,381147113002201.0,,125.0,2369.0,15.097,,16.0,402.0,19900514,
3,19242,381257112580601.0,,100.0,13223.0,17.4632,,14.0,392.0,19750709,
4,447765,381317112562801.0,900.0,30.0,59092.0,288.624,,6.0,300.0,20230531,
5,436675,381347112562501.0,,100.0,167959.0,245.891,,16.0,620.0,20130531,
6,24492,381529113043101.0,,,1702.0,,,8.0,400.0,,20011114
7,1,381535113043001.0,,,153799.0,,2689.8,6.0,526.0,19910307,
8,442788,381547113035701.0,920.0,100.0,170760.0,,,16.0,500.0,,
9,438622,381551112574901.0,402.0,75.0,33651.0,,5908.5,12.75,500.0,20150720,
10,430903,381605113035601.0,1205.0,100.0,5472.0,,,16.0,400.0,20071212,
11,434655,381623113032501.0,,125.0,5466.0,,,16.0,302.0,,
12,17216,381649112590701.0,1040.0,125.0,225438.0,,,15.0,597.0,,
13,432003,381649112595901.0,1275.0,100.0,4036.0,,,16.0,201.0,19500515,
14,19632,381649113005201.0,500.0,125.0,81476.0,777.399,,10.75,705.0,,
15,19562,381715113021501.0,1577.0,150.0,399510.0,,3266.5,12.0,683.0,19781130,
16,5127,381717113003701.0,,,,0.025,,14.0,14.0,,
17,432511,381741112591201.0,780.0,100.0,52509.0,,,0.0,0.0,,        
18,19634,381741112592901.0,,50.0,729.0,,,14.0,410.0,,
19,432387,381742112592901.0,11.0,,44307.0,,,12.0,0.0,,
20,439166,381742113032401.0,700.0,75.0,124916.0,306.632,,0.0,0.0,,20160225
21,433904,381755112593001.0,900.0,100.0,154538.0,,2690.0,16.0,617.0,20110110,
22,444761,381800113003401.0,,150.0,5397.0,,2590.8,16.0,600.0,20210425,
23,432056,381801113032301.0,700.0,,143931.0,335.575,,12.0,300.0,,
24,19609,381817112592901.0,1315.0,125.0,245861.0,,,14.0,418.0,,
25,19608,381817112593301.0,1189.0,100.0,3870.0,,,16.0,800.0,,
26,443524,381833113025501.0,600.0,,,241.696,,16.0,400.0,,
27,436548,381835112592901.0,,150.0,8546.0,,,16.0,500.0,,
28,19599,381835113010801.0,772.0,75.0,132707.0,,,0.0,0.0,19470204,
29,436688,381835113021501.0,1130.0,100.0,212140.0,,,0.0,0.0,20130507,
30,438087,381902113014501.0,1234.0,,,467.35,,14.0,600.0,,
31,439457,381927113030801.0,,60.0,121835.0,,,14.0,215.0,19681129,
32,7364,381928112594501.0,,100.0,255007.0,,,0.0,0.0,19980518,
33,35411,381928113010201.0,,100.0,181835.0,,,14.0,508.0,19800810,
34,2,381941113030601.0,600.0,,,337.382,,6.0,101.0,19901109,
35,19481,381942113010901.0,,75.0,93160.0,0.0,,12.7,428.0,,
36,19482,381954113004601.0,600.0,75.0,164519.0,,,0.0,0.0,19560529,
37,19480,381954113011801.0,552.0,75.0,103207.0,,,14.0,240.0,19560326,
38,429437,381954113025901.0,252.0,60.0,112711.0,,,14.0,420.0,,
39,438187,382009113025001.0,205.93,30.0,48330.0,,,14.0,204.0,19620929,
40,439231,382020113001301.0,1260.0,,,603.696,,16.0,1215.0,,
41,19465,382020113012501.0,,100.0,145875.0,,,16.0,507.0,,
42,436729,382020113015901.0,,150.0,276316.0,183.257,,0.0,0.0,,
43,19434,382022112583601.0,1027.0,100.0,9816.0,,,16.0,595.0,,
44,5499,382023113014401.0,550.0,75.0,116874.0,,,16.0,402.0,19940214,
45,19463,382046113002901.0,534.0,125.0,136680.0,,2795.3,16.0,390.0,,
46,15551,382048113005101.0,857.0,150.0,2568.0,,,16.0,606.0,19970421,
47,19424,382106112590601.0,935.0,150.0,227.0,,,16.0,585.0,19940301,
48,19417,382112112592901.0,618.0,,0.0,,,0.0,0.0,19500510,
49,19413,382112112594501.0,760.0,250.0,10263.0,603.59,,0.0,0.0,,
50,432878,382112113001001.0,,,0.0,,,0.0,0.0,,
51,6916,382113113004001.0,437.0,,,0.0,,12.0,485.0,,
52,429181,382113113013101.0,682.0,100.0,160548.0,,2349.8,12.0,300.0,,
53,435545,382113113014401.0,1044.0,125.0,195548.0,,,16.0,600.0,20120220,
54,432199,382124112590401.0,1665.0,250.0,12299.0,,,16.0,1000.0,,
55,19359,382138112593201.0,1070.0,150.0,-96199.0,,2559.2,0.0,0.0,,
56,26944,382138113000601.0,780.0,125.0,2387.0,,,16.0,507.0,,
57,433957,382139113005701.0,800.0,,,173.36,,5.0,300.0,,
58,438186,382203112585701.0,312.0,150.0,305059.0,,2834.1,16.0,440.0,19520327,
59,439397,382204113001301.0,676.0,75.0,,,2405.4,12.0,508.0,19790825,
60,323980,382204114005301.0,,,936.0,,,,,,
61,432426,382205112590801.0,917.0,125.0,219449.0,,,0.0,0.0,,
62,432231,382206113000201.0,,75.0,157544.0,,,0.0,0.0,,
63,19527,382257113021001.0,900.0,150.0,,414.825,,16.0,351.0,,
64,447728,382257113021201.0,410.0,100.0,154359.0,208.246,,12.0,500.0,,
65,19526,382324113015801.0,500.0,150.0,217225.0,31.192,,16.0,630.0,19811018,
66,33180,382337112592801.0,320.0,30.0,83343.0,,,16.0,185.0,19740727,
67,19445,382416112592901.0,790.0,75.0,120537.0,,,14.0,305.0,19730801,
68,33465,382443112592901.0,1045.2,100.0,,4.321,2520.6,14.0,305.0,19730801,
69,19258,382443112594501.0,,30.0,7067.0,,,6.63,125.0,19800226,
