 "year","month","day","Discharge in CFS"
 1913,12,18,11
 1913,12,19,11
 1913,12,20,13
 1913,12,21,18
 1913,12,22,18
 1913,12,23,19
 1913,12,24,19
 1913,12,25,20
 1913,12,26,21
 1913,12,27,21
 1913,12,28,21
 1913,12,29,22
 1913,12,30,22
 1913,12,31,23
 1914,1,1,23
 1914,1,2,23
 1914,1,3,23
 1914,1,4,24
 1914,1,5,25
 1914,1,6,25
 1914,1,7,25
 1914,1,8,25
 1914,1,9,25
 1914,1,10,25
 1914,1,11,25
 1914,1,12,25
 1914,1,13,26
 1914,1,14,27
 1914,1,15,28
 1914,1,16,32
 1914,1,17,58
 1914,1,18,108
 1914,1,19,143
 1914,1,20,146
 1914,1,21,79
 1914,1,22,42
 1914,1,23,37
 1914,1,24,37
 1914,1,25,38
 1914,1,26,74
 1914,1,27,92
 1914,1,28,90
 1914,1,29,88
 1914,1,30,84
 1914,1,31,40
 1914,2,1,22
 1914,2,2,22
 1914,2,3,23
 1914,2,4,23
 1914,2,5,23
 1914,2,6,24
 1914,2,7,24
 1914,2,8,24
 1914,2,9,24
 1914,2,10,25
 1914,2,11,25
 1914,2,12,36
 1914,2,13,50
 1914,2,14,50
 1914,2,15,50
 1914,2,16,50
 1914,2,17,50
 1914,2,18,50
 1914,2,19,56
 1914,2,20,84
 1914,2,21,101
 1914,2,22,108
 1914,2,23,105
 1914,2,24,101
 1914,2,25,97
 1914,2,26,91
 1914,2,27,85
 1914,2,28,78
 1914,3,1,71
 1914,3,2,69
 1914,3,3,60
 1914,3,4,53
 1914,3,5,47
 1914,3,6,43
 1914,3,7,41
 1914,3,8,40
 1914,3,9,41
 1914,3,10,42
 1914,3,11,43
 1914,3,12,44
 1914,3,13,44
 1914,3,14,46
 1914,3,15,46
 1914,3,16,47
 1914,3,17,54
 1914,3,18,60
 1914,3,19,17
 1914,3,20,0.4
 1914,3,21,3.1
 1914,3,22,7.7
 1914,3,23,19
 1914,3,24,26
 1914,3,25,27
 1914,3,26,28
 1914,3,27,28
 1914,3,28,29
 1914,3,29,30
 1914,3,30,40
 1914,3,31,40
 1914,4,1,40
 1914,4,2,40
 1914,4,3,40
 1914,4,4,37
 1914,4,5,32
 1914,4,6,32
 1914,4,7,32
 1914,4,8,33
 1914,4,9,33
 1914,4,10,33
 1914,4,11,40
 1914,4,12,57
 1914,4,13,57
 1914,4,14,57
 1914,4,15,50
 1914,4,16,54
 1914,4,17,94
 1914,4,18,99
 1914,4,19,87
 1914,4,20,87
 1914,4,21,87
 1914,4,22,88
 1914,4,23,80
 1914,4,24,67
 1914,4,25,68
 1914,4,26,55
 1914,4,27,50
 1914,4,28,51
 1914,4,29,52
 1914,4,30,52
 1914,5,1,52
 1914,5,2,51
 1914,5,3,51
 1914,5,4,50
 1914,5,5,45
 1914,5,6,37
 1914,5,7,38
 1914,5,8,40
 1914,5,9,41
 1914,5,10,43
 1914,5,11,44
 1914,5,12,46
 1914,5,13,47
 1914,5,14,98
 1914,5,15,91
 1914,5,16,150
 1914,5,17,215
 1914,5,18,223
 1914,5,19,209
 1914,5,20,236
 1914,5,21,235
 1914,5,22,266
 1914,5,23,215
 1914,5,24,321
 1914,5,25,326
 1914,5,26,319
 1914,5,27,323
 1914,5,28,332
 1914,5,29,317
 1914,5,30,315
 1914,5,31,315
 1914,6,1,315
 1914,6,2,321
 1914,6,3,324
 1914,6,4,330
 1914,6,5,330
 1914,6,6,334
 1914,6,7,259
 1914,6,8,340
 1914,6,9,344
 1914,6,10,334
 1914,6,11,290
 1914,6,12,249
 1914,6,13,222
 1914,6,14,159
 1914,6,15,126
 1914,6,16,115
 1914,6,17,109
 1914,6,18,102
 1914,6,19,85
 1914,6,20,80
 1914,6,21,80
 1914,6,22,80
 1914,6,23,80
 1914,6,24,80
 1914,6,25,80
 1914,6,26,79
 1914,6,27,79
 1914,6,28,79
 1914,6,29,79
 1914,6,30,76
 1914,7,1,75
 1914,7,2,59
 1914,7,3,25
 1914,7,4,27
 1914,7,5,27
 1914,7,6,55
 1914,7,7,66
 1914,7,8,66
 1914,7,9,66
 1914,7,10,66
 1914,7,11,66
 1914,7,12,64
 1914,7,13,63
 1914,7,14,66
 1914,7,15,69
 1914,7,16,69
 1914,7,17,69
 1914,7,18,69
 1914,7,19,70
 1914,7,20,70
 1914,7,21,70
 1914,7,22,66
 1914,7,23,61
 1914,7,24,56
 1914,7,25,50
 1914,7,26,50
 1914,7,27,50
 1914,7,28,54
 1914,7,29,56
 1914,7,30,56
 1914,7,31,56
 1914,8,1,56
 1914,8,2,56
 1914,8,3,57
 1914,8,4,57
 1914,8,5,58
 1914,8,6,58
 1914,8,7,58
 1914,8,8,58
 1914,8,9,57
 1914,8,10,57
 1914,8,11,57
 1914,8,12,57
 1914,8,13,57
 1914,8,14,57
 1914,8,15,57
 1914,8,16,57
 1914,8,17,57
 1914,8,18,57
 1914,8,19,62
 1914,8,20,67
 1914,8,21,66
 1914,8,22,66
 1914,8,23,66
 1914,8,24,64
 1914,8,25,64
 1914,8,26,64
 1914,8,27,63
 1914,8,28,63
 1914,8,29,63
 1914,8,30,64
 1914,8,31,63
 1914,9,1,63
 1914,9,2,63
 1914,9,3,63
 1914,9,4,63
 1914,9,5,63
 1914,9,6,64
 1914,9,7,67
 1914,9,8,67
 1914,9,9,66
 1914,9,10,71
 1914,9,11,83
 1914,9,12,90
 1914,9,13,90
 1914,9,14,88
 1914,9,15,87
 1914,9,16,85
 1914,9,17,84
 1914,9,18,84
 1914,9,19,83
 1914,9,20,81
 1914,9,21,81
 1914,9,22,74
 1914,9,23,66
 1914,9,24,66
 1914,9,25,69
 1914,9,26,76
 1914,9,27,166
 1914,9,28,258
 1914,9,29,236
 1914,9,30,206
 1914,10,1,166
 1914,10,2,98
 1914,10,3,49
 1914,10,4,46
 1914,10,5,45
 1914,10,6,42
 1914,10,7,44
 1914,10,8,55
 1914,10,9,69
 1914,10,10,62
 1914,10,11,60
 1914,10,12,58
 1914,10,13,55
 1914,10,14,56
 1914,10,15,54
 1914,10,16,53
 1914,10,17,52
 1914,10,18,52
 1914,10,19,51
 1914,10,20,32
 1914,10,21,7
 1914,10,22,10
 1914,10,23,15
 1914,10,24,1.3
 1914,10,25,1.3
 1914,10,26,1.6
 1914,10,27,1.4
 1914,10,28,1.5
 1914,10,29,1.6
 1914,10,30,1.7
 1914,10,31,1.6
 1914,11,1,1.7
 1914,11,2,1.9
 1914,11,3,12
 1914,11,4,25
 1914,11,5,20
 1914,11,6,17
 1914,11,7,20
 1914,11,8,10
 1914,11,9,10
 1914,11,10,10
 1914,11,11,10
 1914,11,12,10
 1914,11,13,10
 1914,11,14,10
 1914,11,15,10
 1914,11,16,10
 1914,11,17,10
 1914,11,18,10
 1914,11,19,10
 1914,11,20,10
 1914,11,21,10
 1914,11,22,10
 1914,11,23,10
 1914,11,24,12
 1914,11,25,15
 1914,11,26,15
 1914,11,27,15
 1914,11,28,15
 1914,11,29,15
 1914,11,30,15
 1914,12,1,15
 1914,12,2,15
 1914,12,3,15
 1914,12,4,15
 1914,12,5,9
 1914,12,6,3
 1914,12,7,3
 1914,12,8,3
 1914,12,9,3
 1914,12,10,4
 1914,12,11,4
 1914,12,12,4
 1914,12,13,4
 1914,12,14,4
 1914,12,15,5
 1914,12,16,5
 1914,12,17,5
 1914,12,18,5
 1914,12,19,5
 1914,12,20,5
 1914,12,21,5
 1914,12,22,5
 1914,12,23,5
 1914,12,24,5
 1914,12,25,6
 1914,12,26,6
 1914,12,27,6
 1914,12,28,6
 1914,12,29,7
 1914,12,30,7
 1914,12,31,7
 1915,1,1,8
 1915,1,2,8
 1915,1,3,8
 1915,1,4,9
 1915,1,5,9
 1915,1,6,9
 1915,1,7,9
 1915,1,8,10
 1915,1,9,10
 1915,1,10,10
 1915,1,11,11
 1915,1,12,11
 1915,1,13,11
 1915,1,14,11
 1915,1,15,11
 1915,1,16,11
 1915,1,17,11
 1915,1,18,12
 1915,1,19,12
 1915,1,20,12
 1915,1,21,12
 1915,1,22,12
 1915,1,23,12
 1915,1,24,10
 1915,1,25,8
 1915,1,26,8
 1915,1,27,8
 1915,1,28,8
 1915,1,29,8
 1915,1,30,8
 1915,1,31,8
 1915,2,1,9
 1915,2,2,9
 1915,2,3,9
 1915,2,4,9
 1915,2,5,9
 1915,2,6,9
 1915,2,7,9
 1915,2,8,9
 1915,2,9,9
 1915,2,10,9
 1915,2,11,9
 1915,2,12,9
 1915,2,13,9
 1915,2,14,9
 1915,2,15,9
 1915,2,16,9
 1915,2,17,9
 1915,2,18,9
 1915,2,19,9
