Date,reservoir_elev,D_1,D_2,D_3,D_4,D_5,D_6,total_gpm,total_cfs
5/29/2025,5490.1,55,64,0,406,202,658,1385,3.705882609
8/1/2024,5495.5,48,115,0,606,423,892,2084,5.576216142
7/1/2024,5498.75,58,115,0,671,329,918,2091,5.594946235
6/4/2024,5505,67,143,0,820,551,1168,2749,7.35557494
11/1/2023,5494,50,115,0,671,375,770,1981,5.300616208
8/7/2023,5497.75,90,115,0,537,474,818,2034,5.442429766
7/3/2023,5505.25,90,143,0,671,643,892,2439,6.52609941
5/30/2023,5503.25,90,114,0,537,328,770,1839,4.920662901
6/23/2022,5477.9,30,16,0,223,113,246,628,1.68035688
5/21/2022,5481.6,30,16,0,222,245,259,772,2.065661642
6/30/2021,5480,29,10,0,36,36,378,489,1.308430755
5/25/2021,5484,29,10,0,36,36,378,489,1.308430755
7/22/2020,5488.3,67,67,0,487,246,637,1504,4.024294183
5/19/2020,5499.5,79.3,115.18,0,507.55,506,770,1978.03,5.292669297
4/22/2020,5502.5,77.68,128.6,0.25,507.3,595,892,2200.83,5.888821388
8/7/2019,5500.7,67,115,2.3,603,374,770,1931.3,5.16763255
6/26/2019,5505.3,,,,,,892,892,2.386748944
6/17/2019,5504.4,,,,,,892,892,2.386748944
6/11/2019,5504.15,,,,,,892,892,2.386748944
6/14/2018,5484.2,37,33,1,134,53,499,757,2.025525729
6/6/2017,5496,60,50,5,240,100,556,1011,2.705160518
8/31/2016,5475.7,25,8,,180,33,378,624,1.66965397
8/5/2015,5479.5,35,31.5,,130,50,462,708.5,1.895752945
1/17/2015,5486,8.4,15.5,0,171,146,378,718.9,1.923580511
2/6/2012,5504.7,5.75,6.75,,7,4.5,7.5,31.5,0.084285417
7/19/2011,5505,5,6,,6,3.5,8,28.5,0.076258234
6/20/2011,5505,5,6,,6,3.5,8,28.5,0.076258234
6/11/2011,5504.6,4.5,5.5,,5.8,3.5,7.5,26.8,0.071709497
5/10/2011,5499.5,,,,,,,,
8/21/2010,5480.5,7.8,29,0,134,78,555,803.8,2.150749777
7/9/2010,5491,7.8,29,0,78,61,555.87,731.67,1.957749551
6/13/2010,5493,29,61,0,204,160,555.87,1009.87,2.702136946
5/29/2010,5487.2,29,44,0,204,160,555.87,992.87,2.656649578
4/20/2010,5490.5,61,61,0,288,61,555.87,1026.87,2.747624314
4/10/2010,5490.5,,,,,,,,
2/16/2010,5486.2,,,,,,,,
8/24/2009,5476,7.8,2.1,0,78,61,462.46,611.36,1.635832774
7/22/2009,5481,9.9,29,0,288,61,555.87,943.77,2.525271357
7/21/2009,5481,,,,,,,,
6/29/2009,5485.5,29,29,1.4,288,134,555.87,1037.27,2.77545188
4/18/2009,5490.3,61,61,1.4,288,105,575.62,1092.02,2.921947961
9/30/2008,5473.3,,,,,,,,
8/2/2008,5479.8,,,,,,,,
7/8/2005,5504,,,,589.723,327.175,1024.61,1941.508,5.194946377
6/28/2005,5504.5,,,,589.723,327.175,1024.61,1941.508,5.194946377
6/16/2005,5505,,,,687.113,352.757,1024.61,2064.48,5.523985941
6/9/2005,5504,,,,589.723,327.175,943.826,1860.724,4.978790405
5/31/2005,5502.1,,,,589.723,301.594,892.214,1783.531,4.772242971
5/15/2005,5489.5,,,,429.95,200.165,556.063,1186.178,3.173889113
3/2/2005,5485.25,,,,387.763,145.86,377.89,911.513,2.438960415
3/9/2004,5483.25,,,,233.376,103.224,300.696,637.296,1.705230443
1/31/2004,5478.25,,,,71.808,85.272,233.376,390.456,1.044753863
10/15/2002,5469,,,,45.329,27.826,171.756,244.911,0.655315102
10/10/2002,5466,,,,116.239,85.721,219.777,421.737,1.128453295
6/27/2002,5478,,,,142.27,104.122,286.783,533.175,1.426631018
4/8/2002,5488.7,,,,225.298,200.165,555.839,981.302,2.625696762
4/4/2002,5488,,,,225.298,200.165,410.562,836.025,2.236975096
