datetime,Mean daily discharge in CFS
2020-04-05,3.039
2020-04-06,3.091
2020-04-07,3.141
2020-04-08,3.119
2020-04-09,3.835
2020-04-10,1.797
2020-04-11,1.664
2020-04-12,1.51
2020-04-13,1.025
2020-04-14,1.277
2020-04-15,1.765
2020-04-16,1.966
2020-04-17,1.548
2020-04-18,1.631
2020-04-19,2.64
2020-04-20,8.438
2020-04-21,5.229
2020-04-22,3.952
2020-04-23,3.351
2020-04-24,1.681
2020-04-25,4.086
2020-04-26,4.539
2020-04-27,10.681
2020-04-28,12.488
2020-04-29,8.711
2020-04-30,14.337
2020-05-01,24.159
2020-05-02,39.296
2020-05-03,33.082
2020-05-04,36.32
2020-05-05,26.749
2020-05-06,24.504
2020-05-07,28.694
2020-05-08,23.95
2020-05-09,20.279
2020-05-10,17.294
2020-05-11,18.468
2020-05-12,18.231
2020-05-13,15.867
2020-05-14,10.891
2020-05-15,8.654
2020-05-16,6.154
2020-05-17,6.406
2020-05-18,6.737
2020-05-19,12.359
2020-05-20,14.415
2020-05-21,11.128
2020-05-22,7.937
2020-05-23,7.985
2020-05-24,7.132
2020-05-25,5.65
2020-05-26,6.032
2020-05-27,3.91
2020-05-28,3.123
2020-05-29,3.088
2020-05-30,2.334
2020-05-31,1.952
2020-06-01,1.497
2020-06-02,2.804
2020-06-03,5.602
2020-06-04,4.393
2020-06-05,4.656
2020-06-06,6.295
2020-06-07,4.896
2020-06-08,5.227
2020-06-09,3.877
2020-06-10,3.655
2020-06-11,2.486
2020-06-12,2.416
2020-06-13,1.949
2020-06-14,1.531
2020-06-15,1.386
2020-06-16,1.299
2020-06-17,1.358
2020-06-18,1.953
2020-06-19,1.631
2020-06-20,1.579
2020-06-21,1.241
2020-06-22,2.095
2020-06-23,1.741
2020-06-24,2.14
2020-06-25,1.343
2020-06-26,0.927
2020-06-27,0.783
2020-06-28,0.593
2020-06-29,0.467
2020-06-30,0.538
2020-07-01,0.451
2020-07-02,0.41
2020-07-03,0.4
2020-07-04,0.386
2020-07-05,0.308
2020-07-06,0.247
2020-07-07,0.183
2020-07-08,0.171
2020-07-09,0.168
2020-07-10,0.145
2020-07-11,0.139
2020-07-12,0.108
2020-07-13,0.052
2020-07-14,0.046
2020-07-15,0.036
2020-07-16,0.048
2020-07-17,0.027
2020-07-18,0.026
2020-07-19,0.026
2020-07-20,0.016
2020-07-21,0.016
2020-07-22,0.016
2020-07-23,0.018
2020-07-24,0.011
2020-07-25,0.006
2020-07-26,0.0
2020-07-27,0.0
2020-07-28,0.0
2020-07-29,0.0
2020-07-30,0.0
2020-07-31,0.0
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,0.0
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,0.0
2020-08-08,0.0
2020-08-09,0.0
2020-08-10,0.0
2020-08-11,0.0
2020-08-12,0.0
2020-08-13,0.0
2020-08-14,0.0
2020-08-15,0.0
2020-08-16,0.0
2020-08-17,0.0
2020-08-18,0.0
2020-08-19,0.0
2020-08-20,0.0
2020-08-21,0.0
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,0.0
2020-08-27,0.0
2020-08-28,0.0
2020-08-29,0.0
2020-08-30,0.0
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,0.0
2020-09-04,0.0
2020-09-05,0.0
2020-09-06,0.0
2020-09-07,0.0
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,0.0
2020-09-11,0.0
2020-09-12,0.0
2020-09-13,0.0
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,0.0
2020-09-17,0.0
2020-09-18,0.0
2020-09-19,0.0
2020-09-20,0.0
2020-09-21,0.0
2020-09-22,0.0
2020-09-23,0.0
2020-09-24,0.0
2020-09-25,0.0
2020-09-26,0.0
2020-09-27,0.0
2020-09-28,0.0
2020-09-29,0.0
2020-09-30,0.0
2020-10-01,0.0
2020-10-02,0.0
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,0.0
2020-10-10,0.0
2020-10-11,0.0
2020-10-12,0.0
2020-10-13,0.0
2020-10-14,0.0
2020-10-15,0.0
2020-10-16,0.0
2020-10-17,0.0
2020-10-18,0.0
2020-10-19,0.0
2020-10-20,0.0
2020-10-21,0.0
2020-10-22,0.0
2020-10-23,0.0
2020-10-24,0.0
2020-10-25,0.0
2020-10-26,0.0
2020-10-27,0.0
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,0.0
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,0.0
2020-11-03,4.007
2020-11-04,9.978
2020-11-05,9.746
2020-11-06,14.185
2020-11-07,12.905
2020-11-08,14.019
2020-11-09,14.082
2020-11-10,13.813
2020-11-11,14.601
2020-11-12,15.03
2020-11-13,14.698
2020-11-14,14.906
2020-11-15,14.498
2020-11-16,14.78
2020-11-17,15.076
2020-11-18,15.727
2020-11-19,16.173
2020-11-20,15.87
2020-11-21,16.654
2020-11-22,16.036
2020-11-23,15.897
2020-11-24,16.211
2020-11-25,14.337
2020-11-26,13.937
2020-11-27,13.394
2020-11-28,14.042
2020-11-29,14.85
2020-11-30,14.85
2020-12-01,14.85
2020-12-02,14.85
2020-12-03,14.85
2020-12-04,14.85
2020-12-05,14.821
2020-12-06,14.637
2020-12-07,14.629
2020-12-08,14.632
2020-12-09,14.635
2020-12-10,14.635
2020-12-11,14.637
2020-12-12,14.632
2020-12-13,14.63
2020-12-14,14.635
2020-12-15,14.63
2020-12-16,14.63
2020-12-17,14.635
2020-12-18,14.64
2020-12-19,14.632
2020-12-20,14.637
2020-12-21,14.64
2020-12-22,14.629
2020-12-23,14.64
2020-12-24,14.637
2020-12-25,14.64
2020-12-26,14.64
2020-12-27,14.64
2020-12-28,14.64
2020-12-29,14.64
2020-12-30,14.64
2020-12-31,14.64
2021-01-01,14.64
2021-01-02,14.64
2021-01-03,14.64
2021-01-04,14.64
2021-01-05,14.64
2021-01-06,14.64
2021-01-07,14.64
2021-01-08,14.64
2021-01-09,14.64
2021-01-10,14.64
2021-01-11,14.64
2021-01-12,14.64
2021-01-13,14.64
2021-01-14,14.64
2021-01-15,14.64
2021-01-16,14.64
2021-01-17,14.64
2021-01-18,14.64
2021-01-19,14.64
2021-01-20,14.64
2021-01-21,14.64
2021-01-22,14.64
