datetime,Mean daily discharge in CFS
2020-04-05,3.537
2020-04-06,3.84
2020-04-07,3.931
2020-04-08,3.932
2020-04-09,3.931
2020-04-10,3.931
2020-04-11,3.932
2020-04-12,3.932
2020-04-13,3.811
2020-04-14,3.322
2020-04-15,3.323
2020-04-16,3.323
2020-04-17,3.322
2020-04-18,3.323
2020-04-19,3.322
2020-04-20,3.324
2020-04-21,4.257
2020-04-22,11.19
2020-04-23,15.005
2020-04-24,24.495
2020-04-25,26.437
2020-04-26,27.892
2020-04-27,43.101
2020-04-28,60.743
2020-04-29,69.376
2020-04-30,78.563
2020-05-01,77.26
2020-05-02,81.524
2020-05-03,87.85
2020-05-04,87.846
2020-05-05,87.212
2020-05-06,82.788
2020-05-07,79.805
2020-05-08,78.463
2020-05-09,82.199
2020-05-10,87.938
2020-05-11,97.054
2020-05-12,93.225
2020-05-13,91.2
2020-05-14,91.2
2020-05-15,91.2
2020-05-16,88.867
2020-05-17,78.356
2020-05-18,79.554
2020-05-19,82.012
2020-05-20,81.905
2020-05-21,74.388
2020-05-22,77.602
2020-05-23,75.059
2020-05-24,71.404
2020-05-25,71.399
2020-05-26,74.95
2020-05-27,84.196
2020-05-28,87.921
2020-05-29,90.142
2020-05-30,80.866
2020-05-31,62.282
2020-06-01,49.762
2020-06-02,39.938
2020-06-03,42.852
2020-06-04,45.4
2020-06-05,49.828
2020-06-06,40.726
2020-06-07,47.504
2020-06-08,42.762
2020-06-09,40.637
2020-06-10,50.607
2020-06-11,59.516
2020-06-12,76.064
2020-06-13,84.633
2020-06-14,90.425
2020-06-15,94.342
2020-06-16,97.483
2020-06-17,98.546
2020-06-18,96.758
2020-06-19,96.892
2020-06-20,93.142
2020-06-21,86.154
2020-06-22,86.979
2020-06-23,90.979
2020-06-24,95.721
2020-06-25,99.825
2020-06-26,99.312
2020-06-27,97.475
2020-06-28,99.196
2020-06-29,93.975
2020-06-30,93.958
2020-07-01,93.971
2020-07-02,95.388
2020-07-03,97.4
2020-07-04,97.404
2020-07-05,97.146
2020-07-06,84.808
2020-07-07,87.262
2020-07-08,87.517
2020-07-09,81.912
2020-07-10,77.282
2020-07-11,62.088
2020-07-12,57.341
2020-07-13,57.34
2020-07-14,52.452
2020-07-15,52.516
2020-07-16,62.535
2020-07-17,76.525
2020-07-18,76.524
2020-07-19,79.596
2020-07-20,85.021
2020-07-21,82.771
2020-07-22,79.405
2020-07-23,81.5
