datetime,Daily Reservoir Storage in ACFT
2020-04-05,23207.461
2020-04-06,23175.91
2020-04-07,23145.617
2020-04-08,23114.309
2020-04-09,23095.376
2020-04-10,23078.94
2020-04-11,23063.409
2020-04-12,23043.103
2020-04-13,23019.633
2020-04-14,22981.139
2020-04-15,22949.444
2020-04-16,22922.299
2020-04-17,22894.95
2020-04-18,22871.872
2020-04-19,22861.335
2020-04-20,22903.308
2020-04-21,22910.182
2020-04-22,22881.614
2020-04-23,22836.355
2020-04-24,22775.831
2020-04-25,22694.825
2020-04-26,22623.105
2020-04-27,22550.534
2020-04-28,22451.703
2020-04-29,22323.889
2020-04-30,22186.542
2020-05-01,22059.231
2020-05-02,21963.756
2020-05-03,21857.66
2020-05-04,21767.43
2020-05-05,21623.024
2020-05-06,21503.348
2020-05-07,21407.161
2020-05-08,21290.806
2020-05-09,21180.605
2020-05-10,21055.286
2020-05-11,20908.208
2020-05-12,20752.99
2020-05-13,20606.886
2020-05-14,20455.953
2020-05-15,20300.486
2020-05-16,20143.733
2020-05-17,19998.406
2020-05-18,19843.878
2020-05-19,19688.725
2020-05-20,19553.41
2020-05-21,19434.472
2020-05-22,19299.467
2020-05-23,19161.193
2020-05-24,19040.368
2020-05-25,18912.193
2020-05-26,18785.829
2020-05-27,18647.35
2020-05-28,18498.206
2020-05-29,18341.42
2020-05-30,18185.961
2020-05-31,18050.752
2020-06-01,17943.132
2020-06-02,17856.135
2020-06-03,17775.66
2020-06-04,17702.392
2020-06-05,17603.606
2020-06-06,17506.978
2020-06-07,17441.985
2020-06-08,17339.685
2020-06-09,17255.992
2020-06-10,17161.94
2020-06-11,17055.317
2020-06-12,16919.022
2020-06-13,16753.559
2020-06-14,16586.473
2020-06-15,16406.152
2020-06-16,16212.25
2020-06-17,16023.74
2020-06-18,15843.424
2020-06-19,15661.173
2020-06-20,15492.693
2020-06-21,15327.114
2020-06-22,15162.968
2020-06-23,14999.058
2020-06-24,14827.895
2020-06-25,14647.114
2020-06-26,14457.54
2020-06-27,14272.18
2020-06-28,14066.508
2020-06-29,13888.935
2020-06-30,13712.33
2020-07-01,13534.038
2020-07-02,13353.85
2020-07-03,13172.842
2020-07-04,12992.023
2020-07-05,12807.177
2020-07-06,12639.332
2020-07-07,12481.668
2020-07-08,12311.486
2020-07-09,12155.008
2020-07-10,12005.161
2020-07-11,11879.475
2020-07-12,11769.134
2020-07-13,11647.204
2020-07-14,11529.821
2020-07-15,11425.159
2020-07-16,11310.71
2020-07-17,11177.782
2020-07-18,11039.069
2020-07-19,10899.643
2020-07-20,10748.81
2020-07-21,10600.451
2020-07-22,10460.667
2020-07-23,10316.113
2020-07-24,10161.49
2020-07-25,10012.594
2020-07-26,9871.551
2020-07-27,9734.833
2020-07-28,9592.347
2020-07-29,9444.745
2020-07-30,9299.912
2020-07-31,9142.499
2020-08-01,8979.377
2020-08-02,8806.411
2020-08-03,8629.794
2020-08-04,8467.47
2020-08-05,8315.997
2020-08-06,8159.112
2020-08-07,8006.843
2020-08-08,7859.641
2020-08-09,7729.946
2020-08-10,7612.673
2020-08-11,7486.558
2020-08-12,7362.925
2020-08-13,7236.143
2020-08-14,7128.082
2020-08-15,7024.019
2020-08-16,6908.116
2020-08-17,6780.462
2020-08-18,6636.532
2020-08-19,6484.108
2020-08-20,6332.805
2020-08-21,6188.001
2020-08-22,6040.715
2020-08-23,5893.783
2020-08-24,5754.559
2020-08-25,5605.518
2020-08-26,5454.134
2020-08-27,5306.992
2020-08-28,5178.316
2020-08-29,5057.191
2020-08-30,4926.475
2020-08-31,4802.654
2020-09-01,4680.596
2020-09-02,4573.596
2020-09-03,4473.7
2020-09-04,4366.062
2020-09-05,4253.784
2020-09-06,4146.299
2020-09-07,4033.895
2020-09-08,3910.615
2020-09-09,3805.989
2020-09-10,3760.497
2020-09-11,3732.058
2020-09-12,3698.757
2020-09-13,3666.518
2020-09-14,3632.962
2020-09-15,3605.0
2020-09-16,3577.094
2020-09-17,3554.559
2020-09-18,3540.042
2020-09-19,3526.161
2020-09-20,3514.04
2020-09-21,3504.248
2020-09-22,3495.736
2020-09-23,3487.652
2020-09-24,3482.043
2020-09-25,3470.395
2020-09-26,3464.457
2020-09-27,3462.35
2020-09-28,3455.692
2020-09-29,3448.654
2020-09-30,3436.711
2020-10-01,3424.244
2020-10-02,3406.384
2020-10-03,3385.065
2020-10-04,3363.656
2020-10-05,3348.306
2020-10-06,3334.743
2020-10-07,3316.804
2020-10-08,3300.639
2020-10-09,3290.446
2020-10-10,3288.67
2020-10-11,3293.546
2020-10-12,3292.603
2020-10-13,3294.098
2020-10-14,3295.964
2020-10-15,3299.981
2020-10-16,3297.067
2020-10-17,3298.158
2020-10-18,3301.639
2020-10-19,3305.241
2020-10-20,3306.393
2020-10-21,3308.354
2020-10-22,3307.665
2020-10-23,3305.072
2020-10-24,3306.621
2020-10-25,3308.436
