GROUP_NUMB,ACRES,type,watering_days,WaterSourc,num_cuts,peak_ndvi,median_ndvi,peak_date,early_ndvi,late_ndvi,efet_2022,efet_2023,efet_2024,efet_2025
0,33.14,corn,183,GW,0,0.79,0.26,8/20/2024,0.24,0.73,78.6,106,90.6,18.5
600001,64.34,corn,183,GW,0,0.83,0.29,8/20/2024,0.27,0.79,194.5,184.3,189.3,65.5
600023,362.62,corn,166.33,GW,4,0.9,0.71,8/20/2024,0.79,0.8,845.6,862.3,977.8,380.8
600049,71.2,corn,169.67,GW,4,0.9,0.7,9/9/2024,0.79,0.76,229.3,215.5,230,87.7
600062,976.71,corn,169.15,GW,3,0.91,0.65,5/27/2024,0.83,0.79,2723.8,2396.9,2884.4,820.8
600069,743.9,alfalfa,166.18,GW,4,0.89,0.68,5/22/2024,0.81,0.73,2245.1,1989,2413.2,895.6
600070,88.84,alfalfa,163,GW,4,0.9,0.69,5/22/2024,0.81,0.74,32,38.5,40.7,12.1
600083,124.67,alfalfa,168,GW,3,0.9,0.66,5/27/2024,0.78,0.79,327.6,348.2,371.7,2.8
600181,204.98,alfalfa,168,GW,3,0.88,0.59,5/22/2024,0.76,0.68,548.1,496.4,507.2,194.6
600188,85.24,corn,175.5,GW,1.5,0.86,0.54,7/26/2024,0.45,0.71,233.6,225.6,256.8,79.3
600274,93.95,corn,183,GW,0,0.82,0.37,8/15/2024,0.3,0.75,217.4,229.4,216.9,69.9
600292,129.16,alfalfa,163,GW,4,0.88,0.74,5/27/2024,0.79,0.72,406.9,375.3,411.3,163.8
600308,62.05,alfalfa,168,GW,3,0.88,0.64,8/15/2024,0.76,0.72,180.5,178.6,176.9,54.6
600313,83.66,corn,183,GW,0,0.82,0.25,8/15/2024,0.5,0.74,175.7,184.5,158.2,44.8
600325,32.28,alfalfa,168,GW,3,0.89,0.64,5/27/2024,0.78,0.72,,,,
600333,1208.43,alfalfa,174.8,Mix,2,0.89,0.52,5/22/2024,0.8,0.8,772.5,2388.5,2590.4,922
600346,131.26,alfalfa,176.33,Mix,0,0.87,0.24,5/27/2024,0.74,0.76,325.9,313.1,374.7,98.8
600351,125.33,alfalfa,168,GW,3,0.89,0.71,9/14/2024,0.79,0.77,355.4,314.7,361.2,172.8
600363,421.95,corn,174.25,GW,1.5,0.87,0.43,8/20/2024,0.71,0.8,1252.3,1051.9,1142.6,386.1
600374,168.52,alfalfa,163,GW,4,0.88,0.69,5/22/2024,0.77,0.64,101.5,101.3,104.6,42.7
600375,173.2,alfalfa,163,GW,4,0.87,0.68,5/22/2024,0.76,0.64,453.3,453.8,459.6,136.6
600502,131.97,corn,178,GW,0,0.86,0.28,8/15/2024,0.76,0.75,302,297.6,295.5,47.3
600504,126.94,corn,183,GW,0,0.83,0.33,8/20/2024,0.23,0.79,385,383.9,342.1,91.5
600510,74.26,alfalfa,163,GW,4,0.89,0.73,5/22/2024,0.81,0.7,188.3,201,199.6,62.6
600538,43.17,alfalfa,165.5,GW,3.5,0.88,0.61,5/27/2024,0.74,0.75,120.4,120.9,124.1,49
601037,64.9,alfalfa,163,GW,4,0.87,0.69,5/22/2024,0.74,0.7,207.3,182,223.9,85.7
601039,58.08,alfalfa,163,GW,4,0.88,0.72,5/22/2024,0.78,0.67,173.7,164.2,194.2,78.3
601416,125.82,alfalfa,163,GW,4,0.9,0.75,6/26/2024,0.77,0.7,285.2,315,395.7,161.1
