Date,Discharge (cfs),Notes
2025-11-10,3,
2025-11-09,2,
2025-11-08,2,
2025-11-07,2,
2025-11-06,2,
2025-11-05,4,
2025-11-04,2,
2025-11-03,2,
2025-11-02,2,
2025-11-01,2,
2025-10-31,1,
2025-10-30,0,
2025-10-29,0,
2025-10-28,6,
2025-10-27,7,
2025-10-26,7,
2025-10-25,8,
2025-10-24,8,
2025-10-23,7,
2025-10-22,0,
2025-10-21,0,
2025-10-20,0,
2025-10-19,0,
2025-10-18,0,
2025-10-17,0,
2025-10-16,0,
2025-10-15,0,
2025-10-14,0,
2025-10-13,0,
2025-10-12,0,
2025-10-11,0,
2025-10-10,0,
2025-10-09,0,
2025-10-08,0,
2025-10-07,0,
2025-10-06,0,
2025-10-05,0,
2025-10-04,0,
2025-10-03,0,
2025-10-02,0,
2025-10-01,0,
2025-09-30,0,
2025-09-29,0,
2025-09-28,0,
2025-09-27,0,
2025-09-26,0,
2025-09-25,0,
2025-09-24,0,
2025-09-23,0,
2025-09-22,0,
2025-09-21,0,
2025-09-20,0,
2025-09-19,0,
2025-09-18,0,
2025-09-17,0,
2025-09-16,0,
2025-09-15,0,
2025-09-14,0,
2025-09-13,0,
2025-09-12,0,
2025-09-11,0,
2025-09-10,0,
2025-09-09,0,
2025-09-08,0,
2025-09-07,0,
2025-09-06,0,
2025-09-05,0,
2025-09-04,0,
2025-09-03,0,
2025-09-02,0,
2025-09-01,0,
2025-08-31,0,
2025-08-30,0,
2025-08-29,0,
2025-08-28,0,
2025-08-27,0,
2025-08-26,0,
2025-08-25,0,
2025-08-24,0,
2025-08-23,0,
2025-08-22,0,
2025-08-21,0,
2025-08-20,0,
2025-08-19,0,
2025-08-18,0,
2025-08-17,0,
2025-08-16,0,
2025-08-15,0,
2025-08-14,0,
2025-08-13,0,
2025-08-12,0,
2025-08-11,0,
2025-08-10,0,
2025-08-09,0,
2025-08-08,0,
2025-08-07,0,
2025-08-06,0,
2025-08-05,0,
2025-08-04,0,
2025-08-03,0,
2025-08-02,0,
2025-08-01,0,
2025-07-31,0,
2025-07-30,0,
2025-07-29,0,
2025-07-28,0,
2025-07-27,0,
2025-07-26,0,
2025-07-25,0,
2025-07-24,0,
2025-07-23,0,
2025-07-22,0,
2025-07-21,0,
2025-07-20,0,
2025-07-19,0,
2025-07-18,0,
2025-07-17,0,
2025-07-16,0,
2025-07-15,0,
2025-07-14,0,
2025-07-13,0,
2025-07-12,0,
2025-07-11,0,
2025-07-10,0,
2025-07-09,0,
2025-07-08,0,
2025-07-07,0,
2025-07-06,0,
2025-07-05,0,
2025-07-04,0,
2025-07-03,0,
2025-07-02,22,
2025-07-01,60,
2025-06-30,58,
2025-06-29,56,
2025-06-28,58,
2025-06-27,56,
2025-06-26,55,
2025-06-25,55,
2025-06-24,50,
2025-06-23,49,
2025-06-22,56,
2025-06-21,56,
2025-06-20,49,
2025-06-19,48,
2025-06-18,48,
2025-06-17,45,
2025-06-16,45,
2025-06-15,39,
2025-06-14,37,
2025-06-13,29,
2025-06-12,25,
2025-06-11,24,
2025-06-10,14,
2025-06-09,9,
2025-06-08,11,
2025-06-07,18,
2025-06-06,26,
2025-06-05,28,
2025-06-04,31,
2025-06-03,33,
2025-06-02,38,
2025-06-01,38,
2025-05-31,40,
2025-05-30,42,
2025-05-29,46,
2025-05-28,45,
2025-05-27,50,
2025-05-26,47,
2025-05-25,39,
2025-05-24,35,
2025-05-23,31,
2025-05-22,26,
2025-05-21,28,
2025-05-20,36,
2025-05-19,40,
2025-05-18,39,
2025-05-17,40,
2025-05-16,40,
2025-05-15,38,
2025-05-14,35,
2025-05-13,33,
2025-05-12,22,
2025-05-11,18,
2025-05-10,10,
2025-05-09,22,
2025-05-08,32,
2025-05-07,32,
2025-05-06,34,
2025-05-05,29,
2025-05-04,24,
2025-05-03,23,
2025-05-02,24,
2025-05-01,17,
2025-04-30,21,
2025-04-29,19,
2025-04-28,17,
2025-04-27,14,
2025-04-26,6,
2025-04-25,7,
2025-04-24,0,
2025-04-23,0,
2024-10-18,18,
2024-10-17,18,
2024-10-16,18,
2024-10-15,18,
2024-10-14,18,
2024-10-13,18,
2024-10-12,18,
2024-10-11,18,
2024-10-10,18,
2024-10-09,18,
2024-10-08,18,
2024-10-07,18,
2024-10-06,18,
2024-10-05,18,
2024-10-04,18,
2024-10-03,18,
2024-10-02,18,
2024-10-01,18,
2024-09-30,18,
2024-09-29,18,
2024-09-28,18,
2024-09-27,18,
2024-09-26,18,
2024-09-25,18,
2024-09-24,18,
2024-09-23,18,
2024-09-22,18,
2024-09-21,18,
2024-09-20,18,
2024-09-19,18,
2024-09-18,18,
2024-09-17,18,
2024-09-16,18,
2024-09-15,18,
2024-09-14,18,
2024-09-13,18,
2024-09-12,18,
2024-09-11,20,
2024-09-10,22,
2024-09-09,21,
2024-09-08,20,
2024-09-07,20,
2024-09-06,19,
2024-09-05,21,
2024-09-04,22,
2024-09-03,23,
2024-09-02,24,
2024-09-01,20,
2024-08-31,18,
2024-08-30,18,
2024-08-29,18,
2024-08-28,22,
2024-08-27,24,
2024-08-26,24,
2024-08-25,21,
2024-08-24,21,
2024-08-23,22,
2024-08-22,24,
2024-08-21,23,
2024-08-20,24,
2024-08-19,24,
2024-08-18,24,
2024-08-17,25,
2024-08-16,23,
2024-08-15,18,
2024-08-14,18,
2024-08-13,20,
2024-08-12,22,
2024-08-11,20,
2024-08-10,23,
2024-08-09,30,
2024-08-08,34,
2024-08-07,37,
2024-08-06,38,
2024-08-05,43,
2024-08-04,46,
2024-08-03,56,
