date_time,station_id,eto,etr,ea_avg,rh_max,rh_min,td_avg,td_max,td_min,td_tmn,td_tmx,solarmj,airt_avg,airt_max,airt_min,airt_tmn,airt_tmx,eto_7day,etr_7day,wett_avg,windd_sd,airt2_avg,battv_min,precip_tb,windd_avg,winds_avg,winds_max,winds_tmx,precip_wpg,soilt4_avg,soilt4_max,soilt4_min,soilt4_tmn,soilt4_tmx,soilt8_avg,precip_7day,precip_accum,soilvwc8_avg,wetstate_avg,site_pressure,sealevel_pressure
"2021-01-01 23:59:59",1293785,0.01,0.02,0.366,92.3,72.1,19.0,24.8,0.9,01JAN2021:23:15:00,01JAN2021:13:15:00,5.0,23.6,28.9,4.1,01JAN2021:22:30:00,01JAN2021:15:45:00,0.01,0.02,36.2,13,23.7,12.4,0.000,123,5.6,11.6,01JAN2021:13:30:00,0.000,30.4,30.7,30.1,01JAN2021:10:45:00,01JAN2021:21:45:00,,0.00,7.096,,0,,
"2021-01-02 23:59:59",1293785,0.03,0.03,0.297,92.7,64.1,14.4,24.1,2.4,02JAN2021:22:45:00,02JAN2021:15:15:00,10.4,18.0,32.7,5.2,02JAN2021:22:45:00,02JAN2021:15:15:00,0.04,0.05,36.8,10,18.2,12.3,0.070,167,7.2,18.2,02JAN2021:01:15:00,0.000,30.0,30.6,29.6,02JAN2021:12:30:00,02JAN2021:00:00:00,,0.00,7.099,,0,,
"2021-01-03 23:59:59",1293785,0.03,0.04,0.371,92.7,55.1,19.5,28.1,11.1,03JAN2021:00:00:00,03JAN2021:14:15:00,8.7,25.6,40.7,14.3,03JAN2021:22:45:00,03JAN2021:16:00:00,0.08,0.09,38.4,14,25.9,12.6,0.000,185,6.6,15.7,03JAN2021:03:45:00,0.000,29.9,30.6,29.4,03JAN2021:09:30:00,03JAN2021:22:15:00,,0.00,7.102,,0,,
"2021-01-04 23:59:59",1293785,0.04,0.05,0.438,92.9,53.6,23.1,31.7,10.9,04JAN2021:02:30:00,04JAN2021:16:45:00,9.7,30.0,42.9,13.5,04JAN2021:05:30:00,04JAN2021:16:00:00,0.12,0.14,37.7,14,30.2,12.6,0.000,181,6.6,16.6,04JAN2021:19:45:00,0.000,30.0,31.1,29.3,04JAN2021:10:00:00,04JAN2021:23:45:00,,0.00,7.100,,0,,
"2021-01-05 23:59:59",1293785,0.04,0.05,0.429,91.0,53.8,23.2,29.7,13.6,05JAN2021:09:00:00,05JAN2021:16:00:00,10.5,31.5,40.0,18.7,05JAN2021:08:00:00,05JAN2021:14:00:00,0.16,0.19,37.4,18,31.5,12.7,0.000,160,5.2,13.6,05JAN2021:04:30:00,0.000,31.4,31.9,30.8,05JAN2021:11:45:00,05JAN2021:23:45:00,,0.00,7.102,,0,,
"2021-01-06 23:59:59",1293785,0.03,0.04,0.349,93.3,49.9,18.1,26.3,6.4,06JAN2021:07:30:00,06JAN2021:12:45:00,10.6,23.0,38.2,9.4,06JAN2021:07:30:00,06JAN2021:16:15:00,0.19,0.23,36.8,18,23.2,12.6,0.000,161,2.6,7.7,06JAN2021:13:15:00,0.000,31.2,31.9,30.0,06JAN2021:11:00:00,06JAN2021:00:45:00,,0.00,7.099,,0,,
"2021-01-07 23:59:59",1293785,0.04,0.05,0.371,91.2,49.6,19.6,28.9,12.1,07JAN2021:08:00:00,07JAN2021:14:45:00,10.4,26.1,40.0,16.9,07JAN2021:08:00:00,07JAN2021:15:30:00,0.23,0.27,36.4,15,26.3,12.6,0.000,141,5.6,15.7,07JAN2021:16:00:00,0.000,30.3,31.7,28.7,07JAN2021:10:15:00,07JAN2021:00:00:00,,0.00,7.099,,0,,
"2021-01-08 23:59:59",1293785,0.02,0.03,0.324,93.2,53.3,16.1,24.8,5.7,08JAN2021:07:30:00,08JAN2021:16:30:00,7.9,21.8,36.4,9.2,08JAN2021:07:30:00,08JAN2021:15:15:00,0.24,0.29,36.9,16,22.2,12.5,0.000,180,3.8,23.5,08JAN2021:23:30:00,0.000,29.0,31.2,26.8,08JAN2021:10:00:00,08JAN2021:00:00:00,,0.00,7.099,,0,,
"2021-01-09 23:59:59",1293785,0.02,0.03,0.460,95.0,70.1,25.0,27.9,21.5,09JAN2021:00:15:00,09JAN2021:11:15:00,6.9,28.6,33.0,24.6,09JAN2021:03:45:00,09JAN2021:13:00:00,0.23,0.28,36.8,11,28.8,12.5,0.010,167,9.9,23.9,09JAN2021:18:45:00,0.000,29.6,30.7,28.9,09JAN2021:06:30:00,09JAN2021:20:00:00,,0.00,7.138,,8,,
"2021-01-10 23:59:59",1293785,0.03,0.03,0.348,95.2,69.9,18.1,24.4,3.5,10JAN2021:08:30:00,10JAN2021:01:15:00,8.9,22.3,30.6,6.9,10JAN2021:08:30:00,10JAN2021:14:30:00,0.22,0.27,36.6,16,22.5,12.5,0.000,92,4.3,12.2,10JAN2021:15:45:00,0.000,29.4,30.7,27.6,10JAN2021:10:15:00,10JAN2021:22:15:00,,0.00,7.137,,0,,
"2021-01-11 23:59:59",1293785,0.03,0.03,0.277,93.9,70.6,12.2,22.8,-1.7,11JAN2021:07:30:00,11JAN2021:13:15:00,10.8,16.2,30.6,1.7,11JAN2021:07:30:00,11JAN2021:15:15:00,0.21,0.25,36.4,16,16.3,12.4,0.000,122,4.8,14.8,11JAN2021:13:30:00,0.000,27.9,30.4,25.3,11JAN2021:10:00:00,11JAN2021:00:00:00,,0.00,7.139,,0,,
"2021-01-12 23:59:59",1293785,0.03,0.03,0.281,92.2,55.6,12.4,23.9,-0.7,12JAN2021:08:30:00,12JAN2021:16:15:00,9.7,17.4,36.4,3.0,12JAN2021:08:30:00,12JAN2021:15:45:00,0.19,0.23,36.6,23,17.6,12.5,0.000,179,3.8,11.3,12JAN2021:03:45:00,0.000,26.3,28.6,23.5,12JAN2021:09:30:00,12JAN2021:19:15:00,,0.00,7.139,,0,,
"2021-01-13 23:59:59",1293785,0.05,0.07,0.380,87.8,30.9,19.9,30.2,10.7,13JAN2021:07:15:00,13JAN2021:16:45:00,10.3,30.5,52.6,15.1,13JAN2021:07:15:00,13JAN2021:16:00:00,0.21,0.26,39.5,16,30.7,12.5,0.000,170,6.1,16.4,13JAN2021:22:00:00,0.000,27.2,29.9,25.0,13JAN2021:09:15:00,13JAN2021:23:45:00,,0.00,7.147,,0,,
"2021-01-14 23:59:59",1293785,0.05,0.06,0.393,87.4,39.4,21.3,26.9,14.7,14JAN2021:23:45:00,14JAN2021:12:00:00,10.6,30.7,42.2,19.3,14JAN2021:23:45:00,14JAN2021:15:00:00,0.22,0.28,36.8,12,30.8,12.7,0.000,119,6.0,16.1,14JAN2021:15:15:00,0.000,29.4,30.7,27.9,14JAN2021:10:15:00,14JAN2021:23:45:00,,0.00,7.144,,0,,
"2021-01-15 23:59:59",1293785,0.04,0.05,0.362,87.8,33.0,18.6,27.5,7.4,15JAN2021:07:45:00,15JAN2021:16:45:00,11.0,28.3,47.9,11.6,15JAN2021:07:45:00,15JAN2021:15:15:00,0.24,0.30,39.5,22,28.5,12.6,0.000,166,2.3,8.1,15JAN2021:16:15:00,0.000,29.1,30.7,27.0,15JAN2021:10:00:00,15JAN2021:23:45:00,,0.00,7.145,,0,,
"2021-01-16 23:59:59",1293785,0.05,0.07,0.446,91.3,49.5,24.1,32.3,18.0,16JAN2021:07:45:00,16JAN2021:15:00:00,11.1,32.7,44.7,21.3,16JAN2021:23:45:00,16JAN2021:14:15:00,0.27,0.34,37.6,13,32.8,12.6,0.000,69,7.4,21.8,16JAN2021:14:00:00,0.000,30.9,31.5,30.1,16JAN2021:10:45:00,16JAN2021:23:00:00,,0.00,7.145,,0,,
"2021-01-17 23:59:59",1293785,0.05,0.06,0.394,90.7,41.9,20.7,29.7,10.1,17JAN2021:08:15:00,17JAN2021:16:30:00,11.3,27.6,46.0,13.3,17JAN2021:08:15:00,17JAN2021:15:45:00,0.29,0.37,37.7,18,28.0,12.5,0.000,136,3.6,14.6,17JAN2021:16:15:00,0.000,30.7,31.6,29.3,17JAN2021:10:15:00,17JAN2021:02:00:00,,0.00,7.144,,0,,
"2021-01-18 23:59:59",1293785,0.04,0.05,0.401,90.1,49.2,21.7,26.8,18.0,18JAN2021:23:45:00,18JAN2021:13:00:00,7.9,28.9,40.2,20.9,18JAN2021:00:00:00,18JAN2021:14:00:00,0.30,0.39,36.3,14,29.1,12.5,0.000,82,8.8,24.1,18JAN2021:14:30:00,0.000,31.1,31.6,30.2,18JAN2021:10:30:00,18JAN2021:02:30:00,,0.00,7.144,,0,,
"2021-01-19 23:59:59",1293785,0.05,0.08,0.347,87.1,37.3,18.4,21.5,13.6,19JAN2021:23:30:00,19JAN2021:04:45:00,10.2,28.7,39.1,21.4,19JAN2021:23:45:00,19JAN2021:15:30:00,0.33,0.44,36.4,9.6,29.0,12.5,0.000,48,11.3,25.5,19JAN2021:14:30:00,0.000,30.3,31.3,29.1,19JAN2021:10:15:00,19JAN2021:00:00:00,,0.00,7.145,,0,,
"2021-01-20 23:59:59",1293785,0.05,0.06,0.360,88.4,36.0,18.8,28.1,10.3,20JAN2021:07:00:00,20JAN2021:17:00:00,11.2,29.3,49.3,14.2,20JAN2021:07:15:00,20JAN2021:16:15:00,0.33,0.43,39.1,19,29.6,12.6,0.000,169,2.9,11.4,20JAN2021:14:15:00,0.000,29.8,31.3,28.2,20JAN2021:10:00:00,20JAN2021:23:45:00,,0.00,7.148,,0,,
"2021-01-21 23:59:59",1293785,0.06,0.08,0.467,88.9,37.4,25.3,32.5,18.5,21JAN2021:07:30:00,21JAN2021:13:30:00,11.4,34.8,54.9,21.5,21JAN2021:07:30:00,21JAN2021:15:15:00,0.34,0.45,40.4,10,35.0,12.6,0.000,207,7.3,16.4,21JAN2021:13:45:00,0.000,31.1,32.4,29.8,21JAN2021:10:00:00,21JAN2021:18:15:00,,0.00,7.147,,0,,
"2021-01-22 23:59:59",1293785,0.04,0.06,0.591,96.1,49.9,31.1,35.8,25.7,22JAN2021:02:00:00,22JAN2021:13:00:00,4.4,39.1,48.6,30.3,22JAN2021:02:00:00,22JAN2021:15:45:00,0.34,0.46,39.4,9.4,39.3,12.6,0.050,194,9.4,23.5,22JAN2021:14:15:00,0.074,32.8,34.7,31.9,22JAN2021:04:30:00,22JAN2021:18:45:00,,0.07,7.213,,11,,
