well_id,horsepower,proof_flow_gpm,instflowgpm,sitehours,site_acft,total_kwh,flow_gpm_for_hours,flow_acft_per_hour,vol_from_hours_acft,vol_from_energy_acft
19249,150.0,,1800.0,,,1476.0,1800.0,0.3314398298608873,,4.217142857142857
19248,150.0,,1300.0,,378.135,165017.0,1300.0,0.2393732104550853,,471.47714285714284
433364,125.0,,,,15.097,2369.0,,,,6.768571428571429
19242,100.0,,,,17.4632,13223.0,,,,37.78
447765,30.0,,900.0,,288.624,59092.0,900.0,0.16571991493044366,,168.83428571428573
436675,100.0,,,,245.891,167959.0,,,,479.8828571428571
24492,,,,,,1702.0,,,,4.862857142857143
1,,,,2689.8,,153799.0,,,,439.42571428571426
442788,100.0,,920.0,,,170760.0,920.0,0.16940257970667574,,487.8857142857143
438622,75.0,,402.0,5908.5,,33651.0,402.0,0.07402156200226484,437.3563990903818,96.14571428571429
430903,100.0,,1205.0,,,5472.0,1205.0,0.2218805527679829,,15.634285714285713
434655,125.0,,,,,5466.0,,,,15.617142857142857
17216,125.0,,1040.0,,,225438.0,1040.0,0.19149856836406823,,644.1085714285714
432003,100.0,,1275.0,,,4036.0,1275.0,0.2347698794847952,,11.531428571428572
19632,125.0,,500.0,,777.399,81476.0,500.0,0.09206661940580203,,232.78857142857143
19562,150.0,,1577.0,3266.5,,399510.0,1577.0,0.29037811760589965,948.5201211596712,1141.4571428571428
5127,,,,,0.025,,,,,
432511,100.0,,780.0,,,52509.0,780.0,0.14362392627305118,,150.0257142857143
19634,50.0,,,,,729.0,,,,2.0828571428571427
432387,,,11.0,,,44307.0,11.0,0.002025465626927645,,126.59142857142857
439166,75.0,,700.0,,306.632,124916.0,700.0,0.12889326716812285,,356.90285714285716
433904,100.0,,900.0,2690.0,,154538.0,900.0,0.16571991493044366,445.78657116289344,441.53714285714284
444761,150.0,,,2590.8,,5397.0,,,,15.42
432056,,,700.0,,335.575,143931.0,700.0,0.12889326716812285,,411.2314285714286
19609,125.0,,1315.0,,,245861.0,1315.0,0.24213520903725935,,702.46
19608,100.0,,1189.0,,,3870.0,1189.0,0.21893442094699725,,11.057142857142857
443524,,,600.0,,241.696,,600.0,0.11047994328696245,,
436548,150.0,,,,,8546.0,,,,24.417142857142856
19599,75.0,,772.0,,,132707.0,772.0,0.14215086036255833,,379.16285714285715
436688,100.0,,1130.0,,,212140.0,1130.0,0.20807055985711262,,606.1142857142858
438087,,,1234.0,,467.35,,1234.0,0.22722041669351942,,
439457,60.0,,,,,121835.0,,,,348.1
7364,100.0,,,,,255007.0,,,,728.5914285714285
35411,100.0,,,,,181835.0,,,,519.5285714285715
2,,,600.0,,337.382,,600.0,0.11047994328696245,,
19481,75.0,,,,0.0,93160.0,,,,266.1714285714286
19482,75.0,,600.0,,,164519.0,600.0,0.11047994328696245,,470.0542857142857
19480,75.0,,552.0,,,103207.0,552.0,0.10164154782400545,,294.87714285714287
429437,60.0,,252.0,,,112711.0,252.0,0.04640157618052423,,322.0314285714286
438187,30.0,,205.93,,,48330.0,205.93,0.03791855786847363,,138.0857142857143
439231,,,1260.0,,603.696,,1260.0,0.23200788090262114,,
19465,100.0,,,,,145875.0,,,,416.7857142857143
436729,150.0,,,,183.257,276316.0,,,,789.4742857142858
19434,100.0,,1027.0,,,9816.0,1027.0,0.18910483625951738,,28.045714285714286
5499,75.0,,550.0,,,116874.0,550.0,0.10127328134638225,,333.92571428571426
19463,125.0,,534.0,2795.3,,136680.0,534.0,0.09832714952539658,274.8538810683411,390.51428571428573
15551,150.0,,857.0,,,2568.0,857.0,0.1578021856615447,,7.337142857142857
19424,150.0,,935.0,,,227.0,935.0,0.17216457828884982,,0.6485714285714286
19417,,,618.0,,,0.0,618.0,0.11379434158557132,,0.0
19413,250.0,,760.0,,603.59,10263.0,760.0,0.1399412614968191,,29.322857142857142
432878,,,,,,0.0,,,,0.0
6916,,,437.0,,0.0,,437.0,0.08046622536067098,,
429181,100.0,,682.0,2349.8,,160548.0,682.0,0.12557886886951397,295.08522606958394,458.7085714285714
435545,125.0,,1044.0,,,195548.0,1044.0,0.19223510131931465,,558.7085714285714
432199,250.0,,1665.0,,,12299.0,1665.0,0.30658184262132077,,35.14
19359,150.0,,1070.0,2559.2,,-96199.0,1070.0,0.19702256552841635,504.2201497003231,-274.8542857142857
26944,125.0,,780.0,,,2387.0,780.0,0.14362392627305118,,6.82
433957,,,800.0,,173.36,,800.0,0.14730659104928326,,
438186,150.0,,312.0,2834.1,,305059.0,312.0,0.05744957050922047,162.81782778018172,871.5971428571429
439397,75.0,,676.0,2405.4,,,676.0,0.12447406943664435,299.4099266229043,
323980,,,,,,936.0,,,,2.6742857142857144
432426,125.0,,917.0,,,219449.0,917.0,0.16885017999024093,,626.9971428571429
432231,75.0,,,,,157544.0,,,,450.1257142857143
19527,150.0,,900.0,,414.825,,900.0,0.16571991493044366,,
447728,100.0,,410.0,,208.246,154359.0,410.0,0.07549462791275767,,441.0257142857143
19526,150.0,,500.0,,31.192,217225.0,500.0,0.09206661940580203,,620.6428571428571
33180,30.0,,320.0,,,83343.0,320.0,0.058922636419713306,,238.12285714285716
19445,75.0,,790.0,,,120537.0,790.0,0.14546525866116722,,344.39142857142855
33465,100.0,,1045.2,2520.6,4.321,,1045.2,0.19245606120588857,485.1047478755627,
19258,30.0,,,,,7067.0,,,,20.19142857142857
