year,GROUP_NUMB,WIN,WaterSourc,watering_days,GPM,Horsepower,Totalizer,alloc_capacity_gpm,group_AF_from_wells,AF_per_well_estimated
2021,78612.0,,,,497.0,,,497.0,,0.0
2021,600001.0,,GW,183.0,2000.0,,,2000.0,176.0,176.0
2021,600023.0,,GW,166.33,838.0,,,838.0,796.3,253.919101978691
2021,600023.0,,GW,166.33,1044.0,,,1044.0,796.3,316.3383561643835
2021,600023.0,,GW,166.33,746.0,,,746.0,796.3,226.04254185692542
2021,600049.0,,GW,169.67,831.0,,,831.0,209.0,154.5511
2021,600049.0,,GW,169.67,437.0,,54.4489,437.0,209.0,54.4489
2021,600049.0,,GW,169.67,,,,,209.0,0.0
2021,600062.0,,GW,169.15,1040.0,,,1040.0,2380.6,827.8066241514092
2021,600062.0,,GW,169.15,,,,,2380.6,0.0
2021,600062.0,,GW,169.15,,,,,2380.6,0.0
2021,600062.0,,GW,169.15,,,,,2380.6,0.0
2021,600062.0,,GW,169.15,,,,,2380.6,0.0
2021,600062.0,,GW,169.15,,,,,2380.6,0.0
2021,600062.0,,GW,169.15,600.0,,,600.0,2380.6,477.58074470273607
2021,600062.0,,GW,169.15,10.5,,,10.5,2380.6,8.35766303229788
2021,600062.0,,GW,169.15,,,,,2380.6,0.0
2021,600062.0,,GW,169.15,,,,,2380.6,0.0
2021,600062.0,,GW,169.15,900.0,,446.0,900.0,2380.6,446.0
2021,600062.0,,GW,169.15,,,,,2380.6,0.0
2021,600062.0,,GW,169.15,,,,,2380.6,0.0
2021,600062.0,,GW,169.15,780.0,,,780.0,2380.6,620.8549681135569
2021,600069.0,,GW,166.18,572.0,,,572.0,2044.4,235.7179600886918
2021,600069.0,,GW,166.18,1206.0,,,1206.0,2044.4,496.9857689981859
2021,600069.0,,GW,166.18,705.0,,,705.0,2044.4,290.52650675267085
2021,600069.0,,GW,166.18,1130.0,,,1130.0,2044.4,465.66659947591216
2021,600069.0,,GW,166.18,1348.0,,,1348.0,2044.4,555.5031646845395
2021,600083.0,,GW,168.0,,,,,333.9,0.0
2021,600083.0,,GW,168.0,,,,,333.9,0.0
2021,600083.0,,GW,168.0,780.0,,,780.0,333.9,333.9
2021,600181.0,,GW,168.0,1750.0,,571.0,1750.0,541.3,541.3
2021,600188.0,,GW,175.5,,,,,222.0,222.0
2021,600274.0,,GW,183.0,,,,,190.2,190.2
2021,600292.0,,GW,163.0,860.0,,1191.105,860.0,329.5,329.5
2021,600308.0,,GW,168.0,,,,,171.0,171.0
2021,600333.0,,Mix,174.8,,,,,1360.4,453.4666666666667
2021,600333.0,,Mix,174.8,,,,,1360.4,453.4666666666667
2021,600333.0,,Mix,174.8,,,,,1360.4,453.4666666666667
2021,600335.0,,,,1300.0,,353.004,1300.0,,0.0
2021,600335.0,,,,1300.0,,353.004,1300.0,,0.0
2021,600338.0,,,,,,619.092,,,0.0
2021,600339.0,,,,,,803.942,,,0.0
2021,600346.0,,Mix,176.33,974.0,,,974.0,283.7,76.24828918322295
2021,600346.0,,Mix,176.33,900.0,,,900.0,283.7,70.45529801324503
2021,600346.0,,Mix,176.33,1750.0,,,1750.0,283.7,136.996412803532
2021,600351.0,,GW,168.0,1200.0,,,1200.0,349.3,349.3
2021,600351.0,,GW,168.0,,,,,349.3,0.0
2021,600363.0,,GW,174.25,1205.0,,,1205.0,1071.1,309.14383233532936
2021,600363.0,,GW,174.25,,,,,1071.1,0.0
2021,600363.0,,GW,174.25,750.0,,,750.0,1071.1,192.41317365269458
2021,600363.0,,GW,174.25,1260.0,,,1260.0,1071.1,323.2541317365269
2021,600363.0,,GW,174.25,960.0,,,960.0,1071.1,246.28886227544908
2021,600374.0,,GW,163.0,,,264.263,,427.2,264.263
2021,600374.0,,GW,163.0,,,,,427.2,81.4685
2021,600374.0,,GW,163.0,,,,,427.2,81.4685
2021,600375.0,,GW,163.0,,,,,428.2,5.684341886080802e-14
2021,600375.0,,GW,163.0,,,707.903,,428.2,214.09999999999997
2021,600375.0,,GW,163.0,,,707.903,,428.2,214.09999999999997
2021,600502.0,,GW,178.0,,,,,300.0,0.0
2021,600502.0,,GW,178.0,,,361.828,,300.0,300.0
2021,600502.0,,GW,178.0,,,,,300.0,0.0
2021,600502.0,,GW,178.0,,,,,300.0,0.0
2021,600504.0,,GW,183.0,1200.0,,,1200.0,355.7,355.7
2021,600504.0,,GW,183.0,,,,,355.7,0.0
2021,600510.0,,GW,163.0,500.0,,,500.0,155.4,96.16336633663367
2021,600510.0,,GW,163.0,308.0,,,308.0,155.4,59.23663366336634
2021,600538.0,,GW,165.5,772.0,,,772.0,113.9,45.74963579604579
2021,600538.0,,GW,165.5,800.0,,,800.0,113.9,47.40894901144641
2021,600538.0,,GW,165.5,350.0,,,350.0,113.9,20.741415192507805
2021,601330.0,,,,,,,,,0.0
2021,601330.0,,,,,,,,,0.0
2021,601330.0,,,,,,,,,0.0
2021,601416.0,,GW,163.0,1100.0,,,1100.0,326.5,326.5
2021,601450.0,,GW,174.25,,,,,191.9,191.9
