field_id,type,num_cuts,peak_ndvi,median_ndvi,peak_date,early_med,late_med,cut_dates
0,corn,0,0.6594127572025279,0.6204593314573477,2024-08-20,0.5936835912054734,0.6389526880556889,[[]]
1,alfalfa,4,0.8814998736187366,0.695960311096365,2024-05-22,0.767819667919474,0.6386657521390097,"[[Timestamp('2024-06-06 00:00:00'), Timestamp('2024-07-11 00:00:00'), Timestamp('2024-08-15 00:00:00'), Timestamp('2024-09-24 00:00:00')]]"
2,fallow,0,0.31930814913617883,0.28575478671483434,2024-09-09,0.2734843407043772,0.29059667932661215,[[]]
3,alfalfa,4,0.8700300732475897,0.682113942169966,2024-05-22,0.7440225214420836,0.6352447611056781,"[[Timestamp('2024-06-06 00:00:00'), Timestamp('2024-07-11 00:00:00'), Timestamp('2024-08-15 00:00:00'), Timestamp('2024-09-24 00:00:00')]]"
4,corn,0,0.8315382377901884,0.32876972801686377,2024-08-20,0.23398038833223828,0.789805537304716,[[]]
5,alfalfa,3,0.8956238369462289,0.680523780454154,2024-05-27,0.7783573017302344,0.7934290083964616,"[[Timestamp('2024-06-16 00:00:00'), Timestamp('2024-07-16 00:00:00'), Timestamp('2024-08-30 00:00:00')]]"
6,corn,0,0.8365443239043503,0.20927362174471886,2024-08-20,0.19828731635924282,0.796028434810551,[[]]
7,alfalfa,3,0.8944204737709883,0.64053537834453,2024-05-27,0.7757558713980959,0.7209209651028746,"[[Timestamp('2024-06-11 00:00:00'), Timestamp('2024-07-16 00:00:00'), Timestamp('2024-08-20 00:00:00')]]"
8,alfalfa,4,0.9031132785476478,0.7268196634587265,2024-05-22,0.8124370239356337,0.6558296491265998,"[[Timestamp('2024-06-06 00:00:00'), Timestamp('2024-07-11 00:00:00'), Timestamp('2024-08-10 00:00:00'), Timestamp('2024-09-24 00:00:00')]]"
9,alfalfa,3,0.8887553734976832,0.6070418399253692,2024-05-27,0.7651076848935707,0.7061350637127135,"[[Timestamp('2024-06-11 00:00:00'), Timestamp('2024-07-16 00:00:00'), Timestamp('2024-08-20 00:00:00')]]"
10,alfalfa,4,0.8824803424683799,0.6717358825726957,2024-05-27,0.783919300790652,0.7438732386479275,"[[Timestamp('2024-06-16 00:00:00'), Timestamp('2024-07-21 00:00:00'), Timestamp('2024-08-30 00:00:00'), Timestamp('2024-10-04 00:00:00')]]"
11,alfalfa,3,0.8223803195743468,0.5633877241906307,2024-08-15,0.6548162950998697,0.6083861341893801,"[[Timestamp('2024-06-16 00:00:00'), Timestamp('2024-07-16 00:00:00'), Timestamp('2024-09-04 00:00:00')]]"
12,alfalfa,3,0.8913723013717547,0.761194536188854,2024-05-27,0.7668382918469587,0.7767182057670472,"[[Timestamp('2024-06-11 00:00:00'), Timestamp('2024-08-20 00:00:00'), Timestamp('2024-09-29 00:00:00')]]"
13,corn,0,0.8324654606630378,0.2421047089625183,2024-08-20,0.23948335481376692,0.7916845931544958,[[]]
14,corn,0,0.8151168157878486,0.2598168062181485,2024-08-15,0.2589417434759902,0.7728475328214278,[[]]
15,corn,0,0.7951904211367952,0.27461641418025373,2024-08-15,0.21631460024512736,0.7164717802017856,[[]]
16,alfalfa,4,0.8705249680826369,0.6679438145601206,2024-05-22,0.735430603310701,0.6287071201108403,"[[Timestamp('2024-06-06 00:00:00'), Timestamp('2024-07-11 00:00:00'), Timestamp('2024-08-10 00:00:00'), Timestamp('2024-09-24 00:00:00')]]"
17,alfalfa,3,0.8939409998280218,0.7652075430439023,2024-05-27,0.7754218797575951,0.7754472095470488,"[[Timestamp('2024-06-11 00:00:00'), Timestamp('2024-08-20 00:00:00'), Timestamp('2024-09-29 00:00:00')]]"
18,alfalfa,4,0.8816432838399996,0.7193256943563153,2024-05-22,0.7832502034286964,0.6724791004201466,"[[Timestamp('2024-06-06 00:00:00'), Timestamp('2024-07-11 00:00:00'), Timestamp('2024-08-10 00:00:00'), Timestamp('2024-09-19 00:00:00')]]"
19,alfalfa,4,0.8693934622358371,0.6875813746335828,2024-05-22,0.738290175175609,0.7035169941587318,"[[Timestamp('2024-06-06 00:00:00'), Timestamp('2024-07-11 00:00:00'), Timestamp('2024-08-20 00:00:00'), Timestamp('2024-09-29 00:00:00')]]"
20,fallow,0,0.1704077092429709,0.13152930707197386,2024-05-22,0.1555196661932141,0.13114734172091774,[[]]
21,alfalfa,2,0.8528271750110948,0.6483736435377396,2024-09-24,0.6353560093002564,0.7276080740115444,"[[Timestamp('2024-07-01 00:00:00'), Timestamp('2024-08-30 00:00:00')]]"
22,corn,0,0.846707259890303,0.21989597817563683,2024-05-17,0.8078822607369522,0.21854767393505947,[[]]
23,fallow,0,0.2890132828636766,0.20205514201890917,2024-05-02,0.2757787718537917,0.20161828230273182,[[]]
24,alfalfa,4,0.8878929878213437,0.7219439885816659,2024-05-22,0.7700228803382885,0.6591078666972146,"[[Timestamp('2024-06-06 00:00:00'), Timestamp('2024-07-11 00:00:00'), Timestamp('2024-08-15 00:00:00'), Timestamp('2024-09-24 00:00:00')]]"
25,alfalfa,4,0.895764798287909,0.7434954562078392,2024-05-22,0.8098106037026138,0.66305738221357,"[[Timestamp('2024-06-06 00:00:00'), Timestamp('2024-07-11 00:00:00'), Timestamp('2024-08-10 00:00:00'), Timestamp('2024-09-24 00:00:00')]]"
26,alfalfa,2,0.8796935632670011,0.5072584076723721,2024-05-22,0.7150935559494147,0.5231514153583551,"[[Timestamp('2024-06-11 00:00:00'), Timestamp('2024-07-11 00:00:00')]]"
27,corn,1,0.7263404027512085,0.5930730784864731,2024-05-27,0.6214586371156179,0.6485920736234482,[[Timestamp('2024-06-16 00:00:00')]]
28,alfalfa,4,0.8709420434660311,0.6824639212015319,2024-05-22,0.6974691334957426,0.6754930594868065,"[[Timestamp('2024-06-06 00:00:00'), Timestamp('2024-07-11 00:00:00'), Timestamp('2024-08-10 00:00:00'), Timestamp('2024-09-19 00:00:00')]]"
29,corn,0,0.6999565327478322,0.45097665863592085,2024-07-26,0.4441749702773061,0.589648490461106,[[]]
30,fallow,0,0.39191418602353045,0.33807944187096184,2024-05-12,0.3623722848438081,0.35526504403068904,[[]]
31,fallow,0,0.3129770027266609,0.2844310849905014,2024-07-01,0.2783086146745417,0.3006458381811778,[[]]
32,fallow,0,0.39107326726538894,0.3118195048751908,2024-09-09,0.3080515501362319,0.35363302394102464,[[]]
33,corn,0,0.5547927430052005,0.46911648124040006,2024-09-04,0.47562875957070233,0.5099731262572512,[[]]
34,corn,0,0.8343781021549909,0.2751312289742829,2024-08-20,0.1956236404309947,0.7885858204444386,[[]]
35,alfalfa,4,0.8876203213107138,0.6797511211132738,2024-05-27,0.7976994149886262,0.6990930909485935,"[[Timestamp('2024-06-16 00:00:00'), Timestamp('2024-07-21 00:00:00'), Timestamp('2024-08-30 00:00:00'), Timestamp('2024-10-04 00:00:00')]]"
36,corn,0,0.5003157685705497,0.4504150266701219,2024-09-09,0.4453062768709862,0.4818095244930289,[[]]
37,corn,0,0.5442500226374523,0.43173537231946774,2024-07-31,0.40614703451523754,0.5281915888540062,[[]]
38,corn,0,0.5129402967794724,0.4680383855646306,2024-08-15,0.470369646233615,0.4890505168616676,[[]]
39,fallow,0,0.26849070766515903,0.22368093122515764,2024-09-04,0.22036125599524664,0.2466380916840849,[[]]
40,alfalfa,4,0.8920166232549894,0.7449477190981478,2024-05-22,0.8119940226846037,0.7031806829516523,"[[Timestamp('2024-06-11 00:00:00'), Timestamp('2024-07-11 00:00:00'), Timestamp('2024-08-15 00:00:00'), Timestamp('2024-09-24 00:00:00')]]"
41,alfalfa,4,0.8856717634464243,0.714241448574739,2024-05-22,0.7917325910802135,0.651772670686345,"[[Timestamp('2024-06-11 00:00:00'), Timestamp('2024-07-11 00:00:00'), Timestamp('2024-08-15 00:00:00'), Timestamp('2024-09-24 00:00:00')]]"
42,fallow,0,0.40201501377293325,0.36158214110494313,2024-09-09,0.35070254633335474,0.3758318541479892,[[]]
43,alfalfa,4,0.8820246630817233,0.7052095500114794,2024-05-22,0.7647600131530903,0.6939609715583438,"[[Timestamp('2024-06-06 00:00:00'), Timestamp('2024-07-11 00:00:00'), Timestamp('2024-08-20 00:00:00'), Timestamp('2024-09-24 00:00:00')]]"
44,alfalfa,4,0.8103662644599936,0.6382895236854875,2024-05-27,0.6641426815274845,0.6550813047564845,"[[Timestamp('2024-06-11 00:00:00'), Timestamp('2024-07-16 00:00:00'), Timestamp('2024-08-20 00:00:00'), Timestamp('2024-10-04 00:00:00')]]"
45,corn,0,0.49981456756591797,0.43117229461669915,2024-09-09,0.37778577486673987,0.4629076449076335,[[]]
46,alfalfa,2,0.8465264359324088,0.6315060044866967,2024-06-01,0.5765399821574031,0.6331808723198612,"[[Timestamp('2024-07-01 00:00:00'), Timestamp('2024-09-24 00:00:00')]]"
47,fallow,0,0.26105725865164203,0.2307368889540255,2024-09-09,0.22144534630689788,0.25010196586806854,[[]]
48,fallow,0,0.1646616607904434,0.11900013623138266,2024-09-09,0.0935049752394358,0.12612907712658242,[[]]
49,fallow,0,0.3034972945849101,0.24849308654665947,2024-08-25,0.22447628279527027,0.2673717389504115,[[]]
50,alfalfa,4,0.8720036308564745,0.6733459799744816,2024-05-22,0.7627230444514637,0.6242010010924943,"[[Timestamp('2024-06-11 00:00:00'), Timestamp('2024-07-11 00:00:00'), Timestamp('2024-08-15 00:00:00'), Timestamp('2024-09-24 00:00:00')]]"
51,corn,0,0.5368281414634303,0.4012397632264254,2024-05-22,0.46749462161147803,0.423308765679075,[[]]
52,fallow,0,0.2622569244131783,0.20209048478241298,2024-05-02,0.24705126046933484,0.2020630693791706,[[]]
53,corn,0,0.5014890907636654,0.4300739811915977,2024-10-14,0.38667946547464604,0.45897076799978614,[[]]
54,fallow,0,0.3444740214472972,0.24073886924586033,2024-05-07,0.2907860019498534,0.24436984336422782,[[]]
55,fallow,0,0.4140973702702988,0.38067277669375793,2024-09-09,0.4026699334134532,0.39188746722749396,[[]]
56,fallow,0,0.17074448721749436,0.13629894739105586,2024-08-05,0.12909592049462448,0.1469567503247942,[[]]
